theme,display_name,category,description,macro_driver,risk_factor,global_peer,sectors,stock_count,scored_count,strong_count,emerging_count,theme_score,theme_signal,momentum_phase,participant_leader,avg_bull_score,avg_ret_30d,avg_ret_60d,avg_ret_90d,avg_ret_365d,avg_vol_ratio,avg_ml_score,avg_accum_score,fii_flow_score,dii_flow_score,smart_money_score,price_sector_momentum,top_picks,as_of_date
DIGITAL_INDIA,Digital India & Technology,TECHNOLOGY,"India's digital transformation — cloud adoption, fintech, digital payments, and IT services exports driving the next growth wave.","UPI ecosystem, India Stack, AI adoption, US tech spend recovery","INR appreciation, wage inflation, global tech slowdown","Global AI infrastructure build (Nvidia, TSMC cycle)","IT,MEDIA,TELECOM",171,171,0,25,45.76,BUILDING,EARLY_ROTATION,SMART_MONEY,37.83,0.32,3.5,26.96,-19.31,1.03,50.96,14.3,-45.49,-41.39,7.57,1.8,"[{""symbol"": ""RAMCOSYS"", ""bull_run_score"": 57.93, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""EBGNG"", ""bull_run_score"": 57.92, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""ONMOBILE"", ""bull_run_score"": 55.46, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""HMVL"", ""bull_run_score"": 53.93, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""CINEVISTA"", ""bull_run_score"": 51.88, ""label"": ""EMERGING"", ""purity_score"": 1.0}]",2026-07-03
CHINA_PLUS_ONE,China+1 Manufacturing Shift,MACRO,"Global companies diversifying supply chains out of China into India — chemicals, electronics, and textiles lead this structural decade-long shift.","Geopolitical realignment, PLI incentives, competitive labour costs","Execution risk, infrastructure gaps, China export dumping","Vietnam textiles, Taiwan semiconductors shift","CHEMICALS,TEXTILES",318,318,0,48,45.61,BUILDING,EARLY_ROTATION,SMART_MONEY,37.85,0.98,3.56,27.25,-10.91,1.0,51.29,15.27,-56.62,-35.9,1.11,-0.46,"[{""symbol"": ""GOKEX"", ""bull_run_score"": 59.23, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""WELSPUNLIV"", ""bull_run_score"": 53.06, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""ARVIND"", ""bull_run_score"": 51.98, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""ICIL"", ""bull_run_score"": 51.88, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""SPAL"", ""bull_run_score"": 51.5, ""label"": ""EMERGING"", ""purity_score"": 1.0}]",2026-07-03
SPECIALTY_CHEM,Specialty Chemicals & API,HEALTHCARE,China exit from high-value chemical supply chains + import substitution in pharma APIs + fluorochemicals demand — India's chemical export opportunity.,"China+1 in chemicals, US FDA API import alerts on China, fluorine demand","China dumping at low prices, capacity glut risk, raw material INR hedging","BASF, Evonik, Lanxess specialty chemical cycle","CHEMICALS,PHARMA",329,329,0,53,45.38,NEUTRAL,EARLY_ROTATION,RETAIL,37.55,2.15,6.72,28.76,-8.12,1.12,50.68,15.08,-61.72,-44.22,-2.34,2.35,"[{""symbol"": ""APARINDS"", ""bull_run_score"": 48.51, ""label"": ""EMERGING"", ""purity_score"": 0.88}, {""symbol"": ""YASHO"", ""bull_run_score"": 47.94, ""label"": ""EMERGING"", ""purity_score"": 0.88}, {""symbol"": ""PIDILITIND"", ""bull_run_score"": 41.03, ""label"": ""WATCHLIST"", ""purity_score"": 1.0}, {""symbol"": ""NEOGEN"", ""bull_run_score"": 46.51, ""label"": ""EMERGING"", ""purity_score"": 0.88}, {""symbol"": ""JUBLCPL"", ""bull_run_score"": 46.11, ""label"": ""EMERGING"", ""purity_score"": 0.88}]",2026-07-03
AI_ENABLERS,Artificial Intelligence Enablers,TECHNOLOGY,"Indian companies enabling GenAI adoption — data annotation, AI services, IT companies landing AI-first deals, and GPU infra providers.","GenAI enterprise adoption, India's data labelling advantage, AI deal TCV growth","Technology disruption to existing IT services, margin compression","Nvidia AI stack, Microsoft Copilot ecosystem","IT,MEDIA,TELECOM",171,171,0,25,45.37,BUILDING,EARLY_ROTATION,SMART_MONEY,37.57,0.2,3.31,26.37,-19.75,1.03,50.61,13.82,-45.49,-41.39,7.57,1.8,"[{""symbol"": ""RAMCOSYS"", ""bull_run_score"": 57.93, ""label"": ""EMERGING"", ""purity_score"": 0.55}, {""symbol"": ""EBGNG"", ""bull_run_score"": 57.92, ""label"": ""EMERGING"", ""purity_score"": 0.55}, {""symbol"": ""COFORGE"", ""bull_run_score"": 40.48, ""label"": ""WATCHLIST"", ""purity_score"": 0.73}, {""symbol"": ""IKS"", ""bull_run_score"": 51.49, ""label"": ""EMERGING"", ""purity_score"": 0.55}, {""symbol"": ""ONMOBILE"", ""bull_run_score"": 55.46, ""label"": ""EMERGING"", ""purity_score"": 0.5}]",2026-07-03
TURNAROUND,Turnaround & Recovery,FACTOR,"Companies showing improving earnings from loss/low-profit base — restructuring, management change, or sector recovery signals.",Post-distress recovery cycles; DII accumulation in beaten-down names,False positives high; turnaround thesis can take 2-3 years to play out,Distressed debt / special situations investing approach,"AGRICULTURE,AMC,AUTO,AVIATION,BANKING,CAPITAL_GOODS,CEMENT,CHEMICALS,DEFENCE,DIVERSIFIED,ENERGY,FINANCIAL_SERVICES,FMCG,HEALTHCARE,HOSPITALITY,INFRASTRUCTURE,IT,LOGISTICS,MEDIA,METAL,OTHER,PHARMA,POWER,REALTY,RETAIL,TELECOM,TEXTILES",1099,1099,0,227,45.05,NEUTRAL,EARLY_ROTATION,RETAIL,38.86,4.37,7.17,31.42,-4.5,1.0,53.07,20.59,-53.34,-9.34,-11.99,1.42,"[{""symbol"": ""GOKEX"", ""bull_run_score"": 59.23, ""label"": ""EMERGING"", ""purity_score"": 0.48}, {""symbol"": ""RAMCOSYS"", ""bull_run_score"": 57.93, ""label"": ""EMERGING"", ""purity_score"": 0.48}, {""symbol"": ""EBGNG"", ""bull_run_score"": 57.92, ""label"": ""EMERGING"", ""purity_score"": 0.48}, {""symbol"": ""BANSALWIRE"", ""bull_run_score"": 54.93, ""label"": ""EMERGING"", ""purity_score"": 0.48}, {""symbol"": ""POCL"", ""bull_run_score"": 54.81, ""label"": ""EMERGING"", ""purity_score"": 0.48}]",2026-07-03
INDIA_PLUS_ONE,India as Global Alternative,MACRO,"India's emergence as the default alternative to China across manufacturing, services, and supply chains — structural multi-decade tailwind.","China+1, US-India trade partnership, PLI scale-up, FDI inflows","Infrastructure gaps, regulatory complexity, execution bandwidth","Japan supply chain resilience fund, EU friend-shoring policies","CAPITAL_GOODS,CEMENT,CHEMICALS,DEFENCE,INFRASTRUCTURE,PHARMA,TEXTILES",812,812,0,149,44.77,NEUTRAL,EARLY_ROTATION,RETAIL,38.27,2.78,5.71,30.67,-6.73,1.07,52.11,17.95,-56.65,-19.28,-7.48,-0.5,"[{""symbol"": ""GOKEX"", ""bull_run_score"": 59.23, ""label"": ""EMERGING"", ""purity_score"": 0.7}, {""symbol"": ""WELSPUNLIV"", ""bull_run_score"": 53.06, ""label"": ""EMERGING"", ""purity_score"": 0.7}, {""symbol"": ""ARVIND"", ""bull_run_score"": 51.98, ""label"": ""EMERGING"", ""purity_score"": 0.7}, {""symbol"": ""ICIL"", ""bull_run_score"": 51.88, ""label"": ""EMERGING"", ""purity_score"": 0.7}, {""symbol"": ""SPAL"", ""bull_run_score"": 51.5, ""label"": ""EMERGING"", ""purity_score"": 0.7}]",2026-07-03
QUALITY_GROWTH,Quality Growth Compounders,FACTOR,"ROCE >25%, 5Y revenue CAGR >15%, low leverage, consistent FCF — NIFTY QUALITY 50 type companies, priced at premium, rightfully.",Long-term wealth compounders; sector-agnostic quality screen,High valuation multiples vulnerable to growth deceleration,"MSCI Quality Factor, Morningstar Economic Moat companies","AGRICULTURE,AMC,AUTO,AVIATION,BANKING,CAPITAL_GOODS,CEMENT,CHEMICALS,DEFENCE,DIVERSIFIED,ENERGY,FINANCIAL_SERVICES,FMCG,HEALTHCARE,HOSPITALITY,INFRASTRUCTURE,IT,LOGISTICS,MEDIA,METAL,PHARMA,POWER,REALTY,RETAIL,TELECOM,TEXTILES",545,545,0,102,44.66,NEUTRAL,EARLY_ROTATION,RETAIL,38.09,1.8,4.11,22.9,2.18,0.99,51.77,18.25,-53.54,-10.82,-11.08,1.47,"[{""symbol"": ""GMRAIRPORT"", ""bull_run_score"": 57.8, ""label"": ""EMERGING"", ""purity_score"": 0.55}, {""symbol"": ""ADANIENSOL"", ""bull_run_score"": 53.65, ""label"": ""EMERGING"", ""purity_score"": 0.55}, {""symbol"": ""LODHA"", ""bull_run_score"": 52.59, ""label"": ""EMERGING"", ""purity_score"": 0.55}, {""symbol"": ""ADANIENT"", ""bull_run_score"": 52.4, ""label"": ""EMERGING"", ""purity_score"": 0.55}, {""symbol"": ""MOTILALOFS"", ""bull_run_score"": 52.36, ""label"": ""EMERGING"", ""purity_score"": 0.55}]",2026-07-03
EXPORT_GROWTH,Export & Global Trade,MACRO,"India gaining share in global exports — specialty chemicals, pharma APIs, textiles, and IT services are leading export vectors.","Weak INR, global supply chain shifts, FTA negotiations","Global demand slowdown, anti-dumping duties, INR strengthening",Emerging market export cycles,"CHEMICALS,TEXTILES",339,339,0,48,44.61,BUILDING,EARLY_ROTATION,SMART_MONEY,37.44,0.55,2.55,26.2,-12.66,1.03,50.69,13.72,-56.62,-35.9,1.11,-0.46,"[{""symbol"": ""EMAMIPAP"", ""bull_run_score"": 44.1, ""label"": ""WATCHLIST"", ""purity_score"": 1.0}, {""symbol"": ""WSTCSTPAPR"", ""bull_run_score"": 42.31, ""label"": ""WATCHLIST"", ""purity_score"": 1.0}, {""symbol"": ""BALKRISHNA"", ""bull_run_score"": 40.01, ""label"": ""WATCHLIST"", ""purity_score"": 1.0}, {""symbol"": ""LAHOTIOV"", ""bull_run_score"": 38.84, ""label"": ""WATCHLIST"", ""purity_score"": 1.0}, {""symbol"": ""PDMJEPAPER"", ""bull_run_score"": 38.44, ""label"": ""WATCHLIST"", ""purity_score"": 1.0}]",2026-07-03
POWER_TD,Power Transmission & Distribution,INFRA,Rs 3.03L Cr RDSS scheme + smart meter rollout 250M units + HVDC lines for RE evacuation — biggest power sector upgrade since independence.,"RDSS scheme, Revamped Distribution Sector, 250M smart meter mandate","State DISCOM financial stress, payment delays, raw material (copper) costs","ABB, Siemens Energy global grid upgrade cycle","CAPITAL_GOODS,ENERGY,POWER",291,291,0,51,44.46,NEUTRAL,EARLY_ROTATION,RETAIL,38.04,3.91,5.84,34.37,-0.75,0.82,51.94,17.35,-66.23,-18.47,-13.12,-0.52,"[{""symbol"": ""ADANIENSOL"", ""bull_run_score"": 53.65, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""ADANIGREEN"", ""bull_run_score"": 44.42, ""label"": ""WATCHLIST"", ""purity_score"": 1.0}, {""symbol"": ""VOLTAMP"", ""bull_run_score"": 43.54, ""label"": ""WATCHLIST"", ""purity_score"": 0.8}, {""symbol"": ""TARIL"", ""bull_run_score"": 42.2, ""label"": ""WATCHLIST"", ""purity_score"": 0.8}, {""symbol"": ""BLUSPRING"", ""bull_run_score"": 49.46, ""label"": ""EMERGING"", ""purity_score"": 0.65}]",2026-07-03
SMALLCAP_QUALITY,Small Cap Quality (<5K Cr),FACTOR,"Hidden compounders: ROE >20%, Debt/Equity <0.5, promoter stake >50%, consistent earnings — small caps before institutional discovery.",Bottom-up quality selection independent of macro cycle,"Illiquidity, discovery risk, governance risk in promoter-owned small caps","NIFTY Smallcap Quality, VanEck Small Cap Quality ETF","AGRICULTURE,AUTO,AVIATION,BANKING,CAPITAL_GOODS,CEMENT,CHEMICALS,DEFENCE,DIVERSIFIED,ENERGY,FINANCIAL_SERVICES,FMCG,HEALTHCARE,HOSPITALITY,INFRASTRUCTURE,IT,LOGISTICS,MEDIA,METAL,OTHER,PHARMA,POWER,REALTY,RETAIL,TELECOM,TEXTILES",754,754,0,145,44.43,NEUTRAL,EARLY_ROTATION,RETAIL,38.89,4.69,7.69,33.63,-7.09,1.02,52.9,19.32,-54.87,-9.01,-12.67,1.31,"[{""symbol"": ""GOKEX"", ""bull_run_score"": 59.23, ""label"": ""EMERGING"", ""purity_score"": 0.62}, {""symbol"": ""RAMCOSYS"", ""bull_run_score"": 57.93, ""label"": ""EMERGING"", ""purity_score"": 0.62}, {""symbol"": ""EBGNG"", ""bull_run_score"": 57.92, ""label"": ""EMERGING"", ""purity_score"": 0.62}, {""symbol"": ""BANSALWIRE"", ""bull_run_score"": 54.93, ""label"": ""EMERGING"", ""purity_score"": 0.62}, {""symbol"": ""POCL"", ""bull_run_score"": 54.81, ""label"": ""EMERGING"", ""purity_score"": 0.62}]",2026-07-03
RAILWAYS_METRO,Railways & Metro Rail,INFRA,Rs 2.5L Cr Vande Bharat expansion + metro rail in 50 cities + Dedicated Freight Corridors Phase 2 — largest railway modernisation globally.,"Vande Bharat 400 trains, DFC Phase 2, metro rail in 50+ cities","Cost overruns, execution delays, land acquisition challenges","Alstom, CRRC global railway equipment","CAPITAL_GOODS,INFRASTRUCTURE",311,311,0,52,44.15,NEUTRAL,EARLY_ROTATION,RETAIL,38.24,4.47,6.11,35.27,-5.06,0.9,51.87,16.51,-65.86,-15.04,-12.75,-2.82,"[{""symbol"": ""GMRAIRPORT"", ""bull_run_score"": 57.8, ""label"": ""EMERGING"", ""purity_score"": 0.5}, {""symbol"": ""ADANIENT"", ""bull_run_score"": 52.4, ""label"": ""EMERGING"", ""purity_score"": 0.5}, {""symbol"": ""WABAG"", ""bull_run_score"": 49.28, ""label"": ""EMERGING"", ""purity_score"": 0.5}, {""symbol"": ""PSPPROJECT"", ""bull_run_score"": 47.98, ""label"": ""EMERGING"", ""purity_score"": 0.5}, {""symbol"": ""CEIGALL"", ""bull_run_score"": 47.67, ""label"": ""EMERGING"", ""purity_score"": 0.5}]",2026-07-03
CAPEX_CYCLE,Capital Expenditure Boom,MACRO,"India's corporate and government capex supercycle — new factories, power plants, and industrial capacity being built at unprecedented scale.",Government infra spend + PLI schemes + rising corporate profits,"Interest rate sensitivity, commodity cost inflation","US Industrials, South Korea Steel cycle","AUTO,CAPITAL_GOODS,CEMENT,CHEMICALS,DEFENCE,ENERGY,INFRASTRUCTURE,METAL,POWER",653,653,0,114,44.05,NEUTRAL,EARLY_ROTATION,RETAIL,38.27,3.14,4.84,32.54,0.24,0.94,52.41,16.99,-60.22,-10.75,-14.09,1.26,"[{""symbol"": ""BANSALWIRE"", ""bull_run_score"": 54.93, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""POCL"", ""bull_run_score"": 54.81, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""KAJARIACER"", ""bull_run_score"": 50.26, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""AEROFLEX"", ""bull_run_score"": 49.64, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""AVALON"", ""bull_run_score"": 49.59, ""label"": ""EMERGING"", ""purity_score"": 1.0}]",2026-07-03
