review_number,priority,canonical_id,category,english,hindi_current,translation_state,source_note,human_decision,human_suggested_hindi,human_comments
26,TECHNICAL,TERM.SIGN.SAGITTARIUS,RASHI,Sagittarius,धनु,MACHINE_DRAFT,"Canonical term registry; aliases: sagittarius, dhanu.",,,
27,TECHNICAL,TERM.SIGN.CAPRICORN,RASHI,Capricorn,मकर,MACHINE_DRAFT,"Canonical term registry; aliases: capricorn, makara.",,,
28,TECHNICAL,TERM.SIGN.AQUARIUS,RASHI,Aquarius,कुंभ,MACHINE_DRAFT,"Canonical term registry; aliases: aquarius, kumbha.",,,
29,TECHNICAL,TERM.SIGN.PISCES,RASHI,Pisces,मीन,MACHINE_DRAFT,"Canonical term registry; aliases: pisces, meena.",,,
30,TECHNICAL,TERM.NAKSHATRA.ASHWINI,NAKSHATRA,Ashwini,अश्विनी,MACHINE_DRAFT,"Canonical term registry; aliases: ashwini, aswini.",,,
31,TECHNICAL,TERM.VARGA.D1,VARGA,D1 (Rashi),D1 (राशि),MACHINE_DRAFT,"Canonical term registry; aliases: d1, rashi; localized naming does not validate interpretation.",,,
32,TECHNICAL,TERM.VARGA.D9,VARGA,D9 (Navamsha),D9 (नवांश),MACHINE_DRAFT,"Canonical term registry; aliases: d9, navamsha, navamsa; localized naming does not validate interpretation.",,,
33,TECHNICAL,TERM.VARGA.D20,VARGA,D20 (Vimshamsha),D20 (विंशांश),MACHINE_DRAFT,"Canonical term registry; aliases: d20, vimshamsha, vimsamsa, vimshamsa; D20 interpretation remains not validated.",,,
34,TECHNICAL,TERM.VARGA.D24,VARGA,D24 (Chaturvimshamsha),D24 (चतुर्विंशांश),MACHINE_DRAFT,"Canonical term registry; aliases: d24, chaturvimshamsha; localized naming does not validate interpretation.",,,
35,TECHNICAL,TERM.DASHA.VIMSHOTTARI,DASHA,Vimshottari Dasha,विंशोत्तरी दशा,MACHINE_DRAFT,"Canonical term registry; aliases: vimshottari, vimsottari; timestamps and semantics unchanged.",,,
36,TECHNICAL,TERM.DASHA.MAHADASHA,DASHA,Mahadasha,महादशा,MACHINE_DRAFT,"Canonical term registry; aliases: mahadasha, maha dasha; timestamps and semantics unchanged.",,,
37,TECHNICAL,TERM.PANCHANGA.TITHI,PANCHANGA,Tithi,तिथि,MACHINE_DRAFT,"Canonical term registry; alias: tithi; atomic fact only.",,,
38,TECHNICAL,TERM.PANCHANGA.VARA,PANCHANGA,Vara,वार,MACHINE_DRAFT,"Canonical term registry; aliases: vara, weekday; atomic fact only.",,,
39,TECHNICAL,TERM.PANCHANGA.NAKSHATRA,PANCHANGA,Nakshatra,नक्षत्र,MACHINE_DRAFT,"Canonical term registry; aliases: nakshatra, nakshatram; atomic fact only.",,,
40,TECHNICAL,TERM.PANCHANGA.YOGA,PANCHANGA,Yoga,योग,MACHINE_DRAFT,"Canonical term registry; alias: panchanga yoga; atomic fact only.",,,
41,TECHNICAL,TERM.PANCHANGA.KARANA,PANCHANGA,Karana,करण,MACHINE_DRAFT,"Canonical term registry; alias: karana; atomic fact only.",,,
42,NORMAL,OUTPUT.CHART.HEADER,OUTPUT_LABEL,Chart facts,कुंडली के तथ्य,MACHINE_DRAFT,"Canonical English message and HI-001 locale pack; presentation-only.",,,
43,NORMAL,STATUS.VALIDATED,STATUS,Validated,सत्यापित,MACHINE_DRAFT,"Canonical status label; use only where the underlying state is validated.",,,
44,NORMAL,STATUS.PARTIALLY_VALIDATED,STATUS,Partially validated,आंशिक रूप से सत्यापित,MACHINE_DRAFT,"Canonical status label; partial qualification must remain explicit.",,,
45,NORMAL,SAFETY.MISSING_TRANSLATION,FALLBACK_SAFETY,"Translation not available; canonical English is shown.","अनुवाद उपलब्ध नहीं है; मूल अंग्रेज़ी दिखाई जा रही है।",MACHINE_DRAFT,"Canonical fallback message; deterministic fallback remains explicit.",,,
46,NORMAL,SAFETY.QUALIFIED_INDICATION,CERTAINTY_SAFETY,This may indicate {topic}; it is not a deterministic outcome.,"यह {topic} की ओर संकेत कर सकता है; यह निश्चित परिणाम नहीं है।",MACHINE_DRAFT,"Canonical qualified message; {topic} is a runtime placeholder.",,,
47,NORMAL,SAFETY.NOT_PROVEN_BY_TRANSLATION,EVIDENCE_SAFETY,This is not proven by translation alone.,यह केवल अनुवाद से सिद्ध नहीं होता।,MACHINE_DRAFT,"Canonical evidence boundary; translation does not create source truth.",,,
48,NORMAL,GOVERNANCE.SOURCE_CITATION,PROVENANCE_LABEL,Source citation,स्रोत उद्धरण,MACHINE_DRAFT,"Canonical provenance label; source IDs and citation metadata remain unchanged.",,,
49,NORMAL,GOVERNANCE.REVIEW_PENDING,REVIEW_STATE,Translation review pending,अनुवाद समीक्षा लंबित है,MACHINE_DRAFT,"Canonical review-state label; human review remains pending.",,,
