sector,ruling_planets,primary_planet,planet_sign,planet_state,planet_retrograde,key_aspects,astro_score,astro_action,astro_reason,moon_phase,eclipse_active,as_of_date
TEXTILE,"Moon, Venus",Moon,Virgo,NEUTRAL,False,Sun Sextile (benefic); Mercury Sextile (benefic); Saturn Opposition (malefic),-15.7,CAUTION,Moon (ruler of TEXTILE) in Virgo is under pressure from challenging planetary alignments today. The sector may underperform the broader market. Consider reducing position sizes or tightening stop-losses.,WAXING_CRESCENT,False,2026-08-17
GEMS_JEWELRY,Venus,Venus,Virgo,DEBILITATED,False,Mercury Sextile (benefic); Mars Square (malefic); Jupiter Sextile (benefic),-44.0,AVOID,"Venus (ruler of GEMS_JEWELRY) is in Virgo -- its weakest zodiac position, where it has minimal positive energy to support sector performance. Strong astrological headwind for GEMS_JEWELRY stocks.",WAXING_CRESCENT,False,2026-08-17
SUGAR,"Moon, Venus",Moon,Virgo,NEUTRAL,False,Sun Sextile (benefic); Mercury Sextile (benefic); Saturn Opposition (malefic),-15.7,CAUTION,Moon (ruler of SUGAR) in Virgo is under pressure from challenging planetary alignments today. The sector may underperform the broader market. Consider reducing position sizes or tightening stop-losses.,WAXING_CRESCENT,False,2026-08-17
ENERGY,"Sun, Mars",Sun,Cancer,NEUTRAL,False,Moon Sextile (benefic); Rahu Opposition (malefic); Ketu Conjunction (neutral),-14.2,HOLD,Mixed planetary signals for ENERGY: Sun in Cancer faces both supportive and challenging aspects. No clear directional bias from astrology -- monitor price action carefully.,WAXING_CRESCENT,False,2026-08-17
POWER,"Sun, Mars",Sun,Cancer,NEUTRAL,False,Moon Sextile (benefic); Rahu Opposition (malefic); Ketu Conjunction (neutral),-14.2,HOLD,Mixed planetary signals for POWER: Sun in Cancer faces both supportive and challenging aspects. No clear directional bias from astrology -- monitor price action carefully.,WAXING_CRESCENT,False,2026-08-17
OIL_GAS,"Neptune, Ketu",Neptune,Pisces,RETROGRADE,True,Venus Opposition (malefic); Mars Square (malefic); Jupiter Trine (benefic),-23.6,EXIT,Neptune -- the planet governing OIL_GAS stocks -- is retrograde (moving backward) in Pisces. A retrograde ruling planet weakens sector momentum and signals a higher risk of corrections or consolidation.,WAXING_CRESCENT,False,2026-08-17
REALTY,"Saturn, Mars",Saturn,Pisces,RETROGRADE,True,Moon Opposition (malefic); Mercury Trine (benefic); Venus Opposition (malefic),-35.4,EXIT,Saturn -- the planet governing REALTY stocks -- is retrograde (moving backward) in Pisces. A retrograde ruling planet weakens sector momentum and signals a higher risk of corrections or consolidation.,WAXING_CRESCENT,False,2026-08-17
INFRASTRUCTURE,"Saturn, Mars",Saturn,Pisces,RETROGRADE,True,Moon Opposition (malefic); Mercury Trine (benefic); Venus Opposition (malefic),-35.4,EXIT,Saturn -- the planet governing INFRASTRUCTURE stocks -- is retrograde (moving backward) in Pisces. A retrograde ruling planet weakens sector momentum and signals a higher risk of corrections or consolidation.,WAXING_CRESCENT,False,2026-08-17
MEDIA,"Mercury, Moon",Mercury,Cancer,NEUTRAL,False,Moon Sextile (benefic); Venus Sextile (benefic); Jupiter Conjunction (benefic),23.8,HOLD,Planetary alignment for MEDIA is mildly positive. Mercury in Cancer faces no major obstacles. Suitable for holding existing positions; no strong entry or exit signal from astrology.,WAXING_CRESCENT,False,2026-08-17
AVIATION,"Mercury, Rahu",Mercury,Cancer,NEUTRAL,False,Moon Sextile (benefic); Venus Sextile (benefic); Jupiter Conjunction (benefic),19.4,HOLD,Planetary alignment for AVIATION is mildly positive. Mercury in Cancer faces no major obstacles. Suitable for holding existing positions; no strong entry or exit signal from astrology.,WAXING_CRESCENT,False,2026-08-17
LOGISTICS,"Mercury, Saturn",Mercury,Cancer,NEUTRAL,False,Moon Sextile (benefic); Venus Sextile (benefic); Jupiter Conjunction (benefic),-5.5,HOLD,Mixed planetary signals for LOGISTICS: Mercury in Cancer faces both supportive and challenging aspects. No clear directional bias from astrology -- monitor price action carefully.,WAXING_CRESCENT,False,2026-08-17
SHIPPING,"Neptune, Moon",Neptune,Pisces,RETROGRADE,True,Venus Opposition (malefic); Mars Square (malefic); Jupiter Trine (benefic),-10.2,EXIT,Neptune -- the planet governing SHIPPING stocks -- is retrograde (moving backward) in Pisces. A retrograde ruling planet weakens sector momentum and signals a higher risk of corrections or consolidation.,WAXING_CRESCENT,False,2026-08-17
AGRICULTURE,"Moon, Mercury",Moon,Virgo,NEUTRAL,False,Sun Sextile (benefic); Mercury Sextile (benefic); Saturn Opposition (malefic),23.8,HOLD,Planetary alignment for AGRICULTURE is mildly positive. Moon in Virgo faces no major obstacles. Suitable for holding existing positions; no strong entry or exit signal from astrology.,WAXING_CRESCENT,False,2026-08-17
DIVERSIFIED,Jupiter,Jupiter,Cancer,EXALTED,False,Mercury Conjunction (benefic); Venus Sextile (benefic); Saturn Trine (benefic),100.0,BUY,Jupiter is at peak strength in Cancer and receiving supportive planetary aspects. Favorable astrological conditions -- a planetary tailwind for DIVERSIFIED stocks.,WAXING_CRESCENT,False,2026-08-17
AEROSPACE,"Sun, Mars, Rahu",Sun,Cancer,NEUTRAL,False,Moon Sextile (benefic); Rahu Opposition (malefic); Ketu Conjunction (neutral),-8.2,HOLD,Mixed planetary signals for AEROSPACE: Sun in Cancer faces both supportive and challenging aspects. No clear directional bias from astrology -- monitor price action carefully.,WAXING_CRESCENT,False,2026-08-17
UNCATEGORIZED,Jupiter,Jupiter,Cancer,EXALTED,False,Mercury Conjunction (benefic); Venus Sextile (benefic); Saturn Trine (benefic),100.0,BUY,Jupiter is at peak strength in Cancer and receiving supportive planetary aspects. Favorable astrological conditions -- a planetary tailwind for UNCATEGORIZED stocks.,WAXING_CRESCENT,False,2026-08-17
