symbol,listing_date,lagna,lagna_lord,moon_sign,mahadasha,antardasha,maha_end_date,yogas,astro_score,astro_action
ABBOTINDIA,2010-01-08,Aquarius,Saturn,Libra,Rahu,Sun,2029-12-18,Dhana Yoga|Raja Yoga|Raja Yoga|Raja Yoga|Neecha Bhanga,97.0,BUY
ABCAPITAL,2017-09-01,Libra,Venus,Sagittarius,Venus,Rahu,2033-10-07,Gaja Kesari|Dhana Yoga|Raja Yoga,75.0,BUY
ABCOTS,2025-09-24,Libra,Venus,Libra,Mars,Rahu,2027-05-17,,5.0,CAUTION
ABDL,2024-07-02,Leo,Sun,Aries,Sun,Rahu,2029-04-28,Raja Yoga,43.0,BUY
ABFRL,2013-07-17,Leo,Sun,Libra,Jupiter,Mercury,2037-09-03,Dhana Yoga|Raja Yoga|Raja Yoga|Kemdrum|Parivartana,76.0,BUY
ABINFRA,2024-11-08,Sagittarius,Jupiter,Capricorn,Moon,Mars,2035-05-14,Neecha Bhanga|Neecha Bhanga|Parivartana,28.0,HOLD
ABLBL,2025-06-23,Leo,Sun,Taurus,Sun,Mars,2026-12-10,Raja Yoga|Kala Sarpa,23.0,HOLD
ABMINTLLTD,2021-09-09,Libra,Venus,Virgo,Mars,Saturn,2030-09-10,Raja Yoga|Raja Yoga,42.0,BUY
ABMKNO,2026-04-20,Gemini,Mercury,Taurus,Moon,Moon,2033-10-12,Raja Yoga|Neecha Bhanga|Kala Sarpa|Parivartana,10.0,CAUTION
ABREL,2003-06-27,Leo,Sun,Taurus,Rahu,Saturn,2036-11-01,Dhana Yoga|Raja Yoga,61.0,BUY
ABSLAMC,2021-10-11,Scorpio,Mars,Scorpio,Ketu,Mars,2031-01-02,Raja Yoga|Raja Yoga|Raja Yoga|Kemdrum,46.0,BUY
ACC,1996-11-20,Sagittarius,Jupiter,Pisces,Mercury,Mars,2034-05-09,Gaja Kesari|Raja Yoga|Kemdrum|Parivartana,25.0,HOLD
ACCELYA,1999-12-01,Sagittarius,Jupiter,Leo,Rahu,Jupiter,2039-10-02,Dhana Yoga|Kemdrum|Parivartana,17.0,HOLD
ACE,2006-09-26,Libra,Venus,Libra,Saturn,Saturn,2042-08-06,Gaja Kesari|Raja Yoga|Raja Yoga|Raja Yoga|Viparita Raja,79.0,BUY
ACEINTEG,2022-11-04,Sagittarius,Jupiter,Aquarius,Jupiter,Saturn,2032-07-12,Dhana Yoga|Raja Yoga,58.0,BUY
ACI,2022-11-21,Sagittarius,Jupiter,Virgo,Mars,Mercury,2027-02-17,Gaja Kesari|Raja Yoga|Viparita Raja|Kemdrum|Parivartana,35.0,HOLD
ACL,2023-05-10,Gemini,Mercury,Sagittarius,Venus,Venus,2028-11-21,Raja Yoga|Kemdrum|Parivartana,10.0,CAUTION
ACMESOLAR,2024-11-13,Sagittarius,Jupiter,Pisces,Mercury,Mercury,2038-06-19,Neecha Bhanga|Neecha Bhanga|Parivartana,3.0,CAUTION
ACSTECH,2026-04-20,Gemini,Mercury,Taurus,Moon,Moon,2033-10-12,Raja Yoga|Neecha Bhanga|Kala Sarpa|Parivartana,10.0,CAUTION
ACUTAAS,2021-09-14,Libra,Venus,Sagittarius,Ketu,Jupiter,2027-10-21,Raja Yoga,49.0,BUY
ADANIENSOL,2015-07-31,Virgo,Mercury,Capricorn,Mars,Rahu,2032-07-11,Raja Yoga|Kemdrum|Neecha Bhanga,19.0,HOLD
ADANIENT,1997-06-04,Cancer,Moon,Taurus,Rahu,Mercury,2034-03-31,Parivartana|Parivartana,3.0,CAUTION
ADANIGREEN,2018-06-18,Cancer,Moon,Leo,Venus,Venus,2043-09-04,Viparita Raja,20.0,HOLD
ADANIPORTS,2007-11-27,Sagittarius,Jupiter,Gemini,Jupiter,Rahu,2028-06-07,Gaja Kesari|Kemdrum|Parivartana,-5.0,CAUTION
ADANIPOWER,2009-08-20,Virgo,Mercury,Leo,Venus,Rahu,2036-08-02,Viparita Raja|Neecha Bhanga,35.0,HOLD
ADFFOODS,2010-09-15,Libra,Venus,Scorpio,Venus,Moon,2040-10-14,Dhana Yoga|Raja Yoga|Neecha Bhanga,71.0,BUY
ADL,2020-10-01,Scorpio,Mars,Pisces,Saturn,Ketu,2034-12-06,Gaja Kesari|Viparita Raja,38.0,HOLD
ADOR,1995-05-10,Gemini,Mercury,Leo,Rahu,Rahu,2042-06-20,Gaja Kesari|Neecha Bhanga,20.0,HOLD
ADROITINFO,1997-08-13,Virgo,Mercury,Scorpio,Venus,Moon,2042-01-27,Neecha Bhanga|Parivartana,-9.0,EXIT
ADSL,2007-07-25,Leo,Sun,Scorpio,Mercury,Rahu,2033-12-02,Gaja Kesari|Dhana Yoga|Kemdrum,60.0,BUY
ADVAIT,2026-01-20,Aquarius,Saturn,Capricorn,Moon,Moon,2027-04-19,Dhana Yoga|Raja Yoga|Raja Yoga|Raja Yoga|Raja Yoga,92.0,BUY
ADVANCE,2025-10-08,Scorpio,Mars,Aries,Ketu,Venus,2029-12-19,Viparita Raja,27.0,HOLD
ADVANIHOTR,2007-06-25,Leo,Sun,Libra,Jupiter,Saturn,2039-08-15,Dhana Yoga|Parivartana,35.0,HOLD
ADVENTHTL,2025-11-13,Sagittarius,Jupiter,Leo,Ketu,Venus,2028-07-15,Raja Yoga,48.0,BUY
ADVENZYMES,2016-08-01,Virgo,Mercury,Gemini,Jupiter,Venus,2027-08-27,Raja Yoga|Raja Yoga|Raja Yoga,49.0,BUY
AEGISLOG,1996-04-03,Taurus,Venus,Virgo,Rahu,Venus,2031-04-03,Gaja Kesari|Raja Yoga|Raja Yoga|Raja Yoga|Raja Yoga,100.0,BUY
AEGISVOPAK,2025-06-02,Cancer,Moon,Leo,Ketu,Venus,2028-12-17,Neecha Bhanga|Kala Sarpa,5.0,CAUTION
AEPL,2026-03-12,Aries,Mars,Sagittarius,Ketu,Ketu,2030-01-23,Gaja Kesari|Raja Yoga|Kemdrum,30.0,HOLD
AEQUS,2025-12-10,Capricorn,Saturn,Leo,Ketu,Venus,2030-09-22,Raja Yoga|Kemdrum,-7.0,EXIT
AEROENTER,2022-11-21,Sagittarius,Jupiter,Virgo,Mars,Mercury,2027-02-17,Gaja Kesari|Raja Yoga|Viparita Raja|Kemdrum|Parivartana,35.0,HOLD
AEROFLEX,2023-08-31,Libra,Venus,Aquarius,Rahu,Jupiter,2030-04-21,Raja Yoga|Kemdrum,15.0,HOLD
AERONEU,2023-01-12,Aquarius,Saturn,Leo,Sun,Sun,2032-05-13,Dhana Yoga|Raja Yoga|Raja Yoga|Raja Yoga|Kemdrum,99.0,BUY
AETHER,2022-06-03,Cancer,Moon,Gemini,Jupiter,Saturn,2027-10-22,Gaja Kesari|Raja Yoga,55.0,BUY
AFCONS,2024-11-04,Sagittarius,Jupiter,Scorpio,Mercury,Mercury,2040-07-27,Gaja Kesari|Viparita Raja|Neecha Bhanga|Neecha Bhanga|Parivartana,18.0,HOLD
AFFLE,2019-08-08,Virgo,Mercury,Libra,Jupiter,Ketu,2027-03-24,Dhana Yoga|Raja Yoga|Neecha Bhanga|Kala Sarpa|Parivartana,29.0,HOLD
AFSL,2022-12-23,Capricorn,Saturn,Sagittarius,Ketu,Rahu,2028-01-06,Gaja Kesari|Dhana Yoga|Raja Yoga|Raja Yoga|Raja Yoga,100.0,BUY
AGARIND,2014-05-26,Cancer,Moon,Aries,Venus,Jupiter,2036-03-29,Raja Yoga|Viparita Raja,35.0,HOLD
AGARWALEYE,2025-02-04,Pisces,Jupiter,Aries,Ketu,Venus,2028-10-04,Parivartana,10.0,CAUTION
AGI,2000-05-31,Cancer,Moon,Aries,Moon,Mars,2035-03-19,Gaja Kesari|Dhana Yoga|Raja Yoga|Raja Yoga|Raja Yoga,100.0,BUY
AGIIL,2024-07-15,Leo,Sun,Libra,Rahu,Rahu,2034-06-22,Raja Yoga|Kemdrum|Parivartana,-12.0,EXIT
AGROPHOS,2019-03-08,Aries,Mars,Pisces,Saturn,Venus,2028-10-09,Viparita Raja,24.0,HOLD
AHCL,2025-09-03,Libra,Venus,Sagittarius,Venus,Venus,2036-02-19,Gaja Kesari|Kemdrum,22.0,HOLD
AHLADA,2021-01-28,Pisces,Jupiter,Cancer,Saturn,Mercury,2035-03-25,Gaja Kesari|Dhana Yoga|Kemdrum|Neecha Bhanga,59.0,BUY
AHLEAST,2010-08-11,Virgo,Mercury,Leo,Venus,Saturn,2032-08-20,Neecha Bhanga|Parivartana,33.0,HOLD
AHLUCONT,2009-12-14,Capricorn,Saturn,Scorpio,Saturn,Rahu,2030-10-07,Raja Yoga|Neecha Bhanga|Neecha Bhanga|Parivartana,36.0,HOLD
AIAENG,2005-12-14,Capricorn,Saturn,Taurus,Rahu,Jupiter,2040-06-08,,12.0,CAUTION
AIIL,2024-04-23,Gemini,Mercury,Libra,Mars,Jupiter,2027-08-18,Gaja Kesari|Raja Yoga|Kemdrum|Neecha Bhanga|Parivartana,46.0,BUY
AIRAN,2019-05-03,Gemini,Mercury,Pisces,Ketu,Jupiter,2029-06-16,Raja Yoga,26.0,HOLD
AIROLAM,2021-10-13,Scorpio,Mars,Sagittarius,Sun,Mercury,2028-01-21,Raja Yoga|Raja Yoga,58.0,BUY
AJANTPHARM,2000-05-29,Cancer,Moon,Pisces,Venus,Venus,2044-12-04,Dhana Yoga|Raja Yoga|Raja Yoga,74.0,BUY
AJAXENGG,2025-02-17,Pisces,Jupiter,Virgo,Mars,Rahu,2030-09-17,Viparita Raja|Kemdrum|Parivartana,7.0,CAUTION
AJMERA,2009-06-16,Cancer,Moon,Pisces,Saturn,Jupiter,2027-03-08,Raja Yoga,39.0,HOLD
AJOONI,2021-05-07,Gemini,Mercury,Pisces,Saturn,Mercury,2041-11-02,Raja Yoga|Viparita Raja,16.0,HOLD
AKASH,2019-10-11,Scorpio,Mars,Aquarius,Jupiter,Mercury,2031-03-03,Gaja Kesari|Raja Yoga|Viparita Raja|Kemdrum,40.0,BUY
AKCAPIT,2026-04-20,Gemini,Mercury,Taurus,Moon,Moon,2033-10-12,Raja Yoga|Neecha Bhanga|Kala Sarpa|Parivartana,10.0,CAUTION
AKG,2021-02-16,Pisces,Jupiter,Pisces,Mercury,Venus,2028-02-12,Dhana Yoga|Raja Yoga,68.0,BUY
AKI,2023-04-06,Taurus,Venus,Virgo,Mars,Jupiter,2031-05-02,Gaja Kesari|Raja Yoga|Kemdrum|Parivartana,48.0,BUY
AKSHAR,2022-05-23,Cancer,Moon,Aquarius,Rahu,Jupiter,2031-10-08,Dhana Yoga|Raja Yoga|Raja Yoga|Raja Yoga|Raja Yoga,100.0,BUY
AKUMS,2024-08-06,Virgo,Mercury,Leo,Ketu,Moon,2026-08-21,Gaja Kesari|Raja Yoga|Parivartana,54.0,BUY
ALANKIT,2015-06-30,Leo,Sun,Scorpio,Mercury,Rahu,2028-08-12,Raja Yoga|Raja Yoga|Raja Yoga|Kemdrum,57.0,BUY
ALBERTDAVD,2016-06-14,Cancer,Moon,Virgo,Rahu,Rahu,2044-02-18,Raja Yoga|Parivartana,49.0,BUY
ALEMBICLTD,1999-09-22,Libra,Venus,Capricorn,Jupiter,Saturn,2040-05-19,Gaja Kesari|Kemdrum,-6.0,EXIT
ALGOQUANT,2026-01-06,Aquarius,Saturn,Cancer,Mercury,Mercury,2027-09-12,Dhana Yoga|Raja Yoga|Raja Yoga|Raja Yoga|Raja Yoga,100.0,BUY
ALICON,2006-09-29,Libra,Venus,Scorpio,Venus,Rahu,2038-01-26,Raja Yoga|Neecha Bhanga|Parivartana,9.0,CAUTION
ALIVUS,2021-08-06,Virgo,Mercury,Gemini,Jupiter,Mercury,2035-07-04,Parivartana,6.0,CAUTION
ALKEM,2015-12-23,Capricorn,Saturn,Taurus,Moon,Venus,2027-04-13,Gaja Kesari|Dhana Yoga|Viparita Raja|Kemdrum|Parivartana,50.0,BUY
ALKYLAMINE,2007-11-26,Sagittarius,Jupiter,Gemini,Rahu,Moon,2028-05-21,Gaja Kesari|Kemdrum|Parivartana,-10.0,EXIT
ALLCARGO,2006-06-23,Leo,Sun,Taurus,Rahu,Rahu,2042-10-28,Raja Yoga|Neecha Bhanga,8.0,CAUTION
ALLDIGI,2005-05-09,Gemini,Mercury,Taurus,Rahu,Rahu,2042-10-31,,26.0,HOLD
ALLTIME,2025-08-14,Virgo,Mercury,Aries,Ketu,Venus,2032-05-03,Raja Yoga,8.0,CAUTION
ALMONDZ,2008-06-16,Cancer,Moon,Scorpio,Saturn,Jupiter,2027-01-10,Neecha Bhanga|Neecha Bhanga|Parivartana|Parivartana,38.0,HOLD
ALOKINDS,2020-02-19,Pisces,Jupiter,Sagittarius,Venus,Mars,2037-01-15,Gaja Kesari|Raja Yoga|Raja Yoga,61.0,BUY
ALPA,2007-08-06,Virgo,Mercury,Aries,Moon,Venus,2028-07-26,,-5.0,CAUTION
ALPHAGEO,2007-05-11,Gemini,Mercury,Aquarius,Jupiter,Saturn,2038-05-03,Gaja Kesari|Parivartana|Parivartana|Parivartana,25.0,HOLD
AMAGI,2026-01-21,Aquarius,Saturn,Aquarius,Mars,Rahu,2027-03-08,Dhana Yoga|Raja Yoga|Raja Yoga|Raja Yoga|Raja Yoga,95.0,BUY
AMBALALSA,2026-04-20,Gemini,Mercury,Taurus,Moon,Moon,2033-10-12,Raja Yoga|Neecha Bhanga|Kala Sarpa|Parivartana,10.0,CAUTION
AMBER,2018-01-30,Pisces,Jupiter,Gemini,Saturn,Saturn,2044-11-03,Kemdrum,-5.0,CAUTION
AMBICAAGAR,2004-06-29,Leo,Sun,Libra,Saturn,Rahu,2030-04-20,Dhana Yoga|Raja Yoga|Kemdrum|Neecha Bhanga,61.0,BUY
AMBIKCO,2008-01-29,Pisces,Jupiter,Libra,Rahu,Moon,2027-09-30,Kemdrum|Parivartana,-25.0,EXIT
AMBUJACEM,1998-02-18,Pisces,Jupiter,Libra,Saturn,Moon,2034-03-02,Raja Yoga|Raja Yoga|Raja Yoga|Kemdrum|Parivartana,37.0,HOLD
AMDIND,2007-03-19,Taurus,Venus,Pisces,Mercury,Ketu,2040-06-04,,15.0,HOLD
AMIRCHAND,2026-04-02,Taurus,Venus,Virgo,Moon,Moon,2029-04-02,Gaja Kesari|Raja Yoga|Raja Yoga|Kemdrum,43.0,BUY
AMJLAND,1995-02-08,Pisces,Jupiter,Taurus,Rahu,Ketu,2033-08-19,Gaja Kesari|Kemdrum,-3.0,CAUTION
AMNPLST,2023-11-10,Sagittarius,Jupiter,Virgo,Moon,Rahu,2029-04-13,Neecha Bhanga,5.0,CAUTION
AMRUTANJAN,2015-01-02,Aquarius,Saturn,Taurus,Mars,Saturn,2030-06-07,Raja Yoga|Raja Yoga|Raja Yoga|Kemdrum|Parivartana,49.0,BUY
ANANDRATHI,2021-12-14,Capricorn,Saturn,Aries,Ketu,Jupiter,2026-11-09,Dhana Yoga|Raja Yoga|Raja Yoga|Kemdrum,71.0,BUY
ANANTRAJ,2006-09-27,Libra,Venus,Scorpio,Saturn,Jupiter,2027-11-18,Raja Yoga|Raja Yoga|Raja Yoga|Viparita Raja,64.0,BUY
ANDHRAPAP,2004-05-13,Gemini,Mercury,Aquarius,Saturn,Ketu,2039-02-02,Gaja Kesari|Dhana Yoga|Kemdrum|Parivartana,25.0,HOLD
ANDHRSUGAR,1995-11-01,Scorpio,Mars,Aquarius,Jupiter,Venus,2032-09-13,Gaja Kesari|Raja Yoga|Raja Yoga|Raja Yoga|Raja Yoga,90.0,BUY
ANGELONE,2020-10-05,Scorpio,Mars,Aries,Sun,Jupiter,2030-05-31,,31.0,HOLD
ANMOL,2021-06-04,Cancer,Moon,Pisces,Saturn,Mercury,2029-03-12,Neecha Bhanga|Parivartana,10.0,CAUTION
ANTELOPUS,2006-09-26,Libra,Venus,Libra,Saturn,Saturn,2042-08-06,Gaja Kesari|Raja Yoga|Raja Yoga|Raja Yoga|Viparita Raja,79.0,BUY
ANTGRAPHIC,1997-12-31,Capricorn,Saturn,Capricorn,Rahu,Mercury,2035-05-16,Gaja Kesari|Raja Yoga|Raja Yoga|Parivartana,44.0,BUY
ANTHEM,2025-07-21,Leo,Sun,Taurus,Moon,Mars,2030-07-22,,5.0,CAUTION
ANUHPHR,2024-12-20,Capricorn,Saturn,Leo,Ketu,Venus,2029-10-10,Gaja Kesari|Neecha Bhanga,20.0,HOLD
ANUP,2019-03-01,Aries,Mars,Sagittarius,Venus,Rahu,2033-12-27,Viparita Raja,22.0,HOLD
ANURAS,2021-03-24,Taurus,Venus,Cancer,Saturn,Mercury,2031-07-27,Gaja Kesari|Raja Yoga|Kemdrum|Neecha Bhanga,11.0,CAUTION
APARINDS,2004-07-12,Leo,Sun,Aries,Mars,Moon,2026-09-08,Raja Yoga|Neecha Bhanga|Kala Sarpa|Parivartana,6.0,CAUTION
APCL,2017-04-10,Taurus,Venus,Virgo,Mars,Saturn,2031-02-09,Gaja Kesari|Raja Yoga|Raja Yoga|Kemdrum,21.0,HOLD
APCOTEXIND,1995-09-06,Libra,Venus,Capricorn,Rahu,Venus,2030-07-04,Dhana Yoga,53.0,BUY
APEX,2017-09-04,Libra,Venus,Capricorn,Rahu,Rahu,2043-03-09,Dhana Yoga|Raja Yoga|Kemdrum,55.0,BUY
APLAPOLLO,2011-12-14,Capricorn,Saturn,Cancer,Mercury,Venus,2038-12-30,Gaja Kesari|Parivartana,47.0,BUY
APLLTD,2011-09-20,Libra,Venus,Taurus,Rahu,Ketu,2034-01-07,Raja Yoga|Raja Yoga|Neecha Bhanga|Neecha Bhanga|Parivartana,56.0,BUY
APOLLO,2018-01-22,Aquarius,Saturn,Pisces,Saturn,Venus,2034-11-17,Dhana Yoga|Raja Yoga|Raja Yoga|Kemdrum,56.0,BUY
APOLLOHOSP,1996-01-10,Aquarius,Saturn,Leo,Moon,Jupiter,2032-04-23,Dhana Yoga|Raja Yoga|Raja Yoga|Raja Yoga|Kemdrum,71.0,BUY
APOLLOPIPE,2019-11-11,Sagittarius,Jupiter,Aries,Venus,Sun,2042-05-18,Raja Yoga|Raja Yoga|Kemdrum|Parivartana,16.0,HOLD
APOLLOTYRE,1995-05-31,Cancer,Moon,Gemini,Jupiter,Moon,2030-04-20,,22.0,HOLD
APOLSINHOT,2015-01-28,Pisces,Jupiter,Aries,Moon,Saturn,2032-01-04,Gaja Kesari|Kemdrum|Parivartana,15.0,HOLD
APTUS,2021-08-24,Virgo,Mercury,Aquarius,Jupiter,Mercury,2028-01-09,Gaja Kesari|Viparita Raja|Neecha Bhanga,31.0,HOLD
AQYLON,2024-04-01,Taurus,Venus,Sagittarius,Ketu,Moon,2028-01-30,Raja Yoga|Raja Yoga|Kemdrum,38.0,HOLD
ARCHIDPLY,2008-07-04,Leo,Sun,Cancer,Saturn,Jupiter,2026-12-10,Raja Yoga|Raja Yoga|Parivartana,57.0,BUY
ARCHIES,1998-09-02,Libra,Venus,Sagittarius,Mars,Jupiter,2031-06-05,Gaja Kesari|Raja Yoga|Kemdrum|Neecha Bhanga|Neecha Bhanga,58.0,BUY
ARE&M,2003-09-05,Libra,Venus,Sagittarius,Sun,Mars,2031-06-17,Dhana Yoga|Raja Yoga|Kemdrum,55.0,BUY
ARENTERP,1995-10-18,Scorpio,Mars,Cancer,Venus,Rahu,2039-02-18,Dhana Yoga|Raja Yoga|Kemdrum,23.0,HOLD
ARFIN,2025-07-22,Leo,Sun,Gemini,Mars,Rahu,2028-07-03,Gaja Kesari|Parivartana,20.0,HOLD
ARIES,2008-01-11,Aquarius,Saturn,Capricorn,Rahu,Venus,2030-06-15,Dhana Yoga|Viparita Raja,47.0,BUY
ARIHANT,2026-04-20,Gemini,Mercury,Taurus,Moon,Moon,2033-10-12,Raja Yoga|Neecha Bhanga|Kala Sarpa|Parivartana,10.0,CAUTION
ARIHANTCAP,2021-06-15,Cancer,Moon,Cancer,Mercury,Venus,2029-06-04,Raja Yoga|Raja Yoga|Neecha Bhanga|Parivartana,66.0,BUY
ARIHANTSUP,2017-03-28,Taurus,Venus,Pisces,Mercury,Venus,2037-05-22,Gaja Kesari|Raja Yoga|Raja Yoga,36.0,HOLD
ARIS,2025-06-25,Leo,Sun,Gemini,Rahu,Rahu,2043-09-12,Gaja Kesari|Raja Yoga|Kala Sarpa|Parivartana,23.0,HOLD
ARKADE,2024-09-24,Libra,Venus,Gemini,Mars,Jupiter,2028-03-17,Viparita Raja,30.0,HOLD
ARMANFIN,2016-06-14,Cancer,Moon,Virgo,Rahu,Rahu,2044-02-18,Raja Yoga|Parivartana,49.0,BUY
AROGRANITE,2007-04-24,Gemini,Mercury,Cancer,Mercury,Moon,2035-09-29,Dhana Yoga|Kemdrum,21.0,HOLD
ARSSBL,2025-09-30,Scorpio,Mars,Sagittarius,Venus,Venus,2042-11-27,Gaja Kesari|Kemdrum,20.0,HOLD
ARTEMISMED,2020-01-23,Aquarius,Saturn,Sagittarius,Venus,Mars,2032-04-16,Gaja Kesari|Dhana Yoga|Raja Yoga,68.0,BUY
ARTNIRMAN,2021-10-18,Scorpio,Mars,Pisces,Saturn,Mercury,2041-04-27,Raja Yoga|Kemdrum|Neecha Bhanga,23.0,HOLD
ARVEE,2021-03-22,Taurus,Venus,Gemini,Rahu,Saturn,2029-03-14,Raja Yoga,-4.0,CAUTION
ARVIND,1995-02-08,Pisces,Jupiter,Taurus,Rahu,Ketu,2033-08-19,Gaja Kesari|Kemdrum,-3.0,CAUTION
ARVINDFASN,2019-03-08,Aries,Mars,Pisces,Saturn,Venus,2028-10-09,Viparita Raja,24.0,HOLD
ARVSMART,2015-08-26,Virgo,Mercury,Sagittarius,Sun,Moon,2032-02-25,Neecha Bhanga,-14.0,EXIT
ASAHIINDIA,1998-03-18,Taurus,Venus,Libra,Mercury,Ketu,2040-10-01,Raja Yoga|Raja Yoga|Raja Yoga|Raja Yoga|Raja Yoga,83.0,BUY
ASAHISONG,2011-08-29,Libra,Venus,Leo,Venus,Saturn,2032-03-10,Dhana Yoga|Raja Yoga|Neecha Bhanga,74.0,BUY
ASAL,2002-03-12,Aries,Mars,Aquarius,Jupiter,Mercury,2035-11-22,Raja Yoga,23.0,HOLD
ASALCBR,2020-02-12,Pisces,Jupiter,Virgo,Moon,Mercury,2030-08-11,Gaja Kesari|Raja Yoga|Kemdrum,23.0,HOLD
ASHAPURMIN,1995-09-20,Libra,Venus,Cancer,Ketu,Rahu,2030-02-26,Raja Yoga|Viparita Raja|Kemdrum,19.0,HOLD
ASHIANA,2011-06-29,Leo,Sun,Taurus,Rahu,Jupiter,2041-06-04,Raja Yoga|Neecha Bhanga|Neecha Bhanga,25.0,HOLD
ASHIKA,2026-04-20,Gemini,Mercury,Taurus,Moon,Moon,2033-10-12,Raja Yoga|Neecha Bhanga|Kala Sarpa|Parivartana,10.0,CAUTION
ASHIMASYN,1995-07-27,Virgo,Mercury,Cancer,Mercury,Jupiter,2029-05-16,Dhana Yoga|Raja Yoga|Kemdrum,63.0,BUY
ASHOKA,2010-10-14,Scorpio,Mars,Sagittarius,Sun,Mercury,2028-09-19,Gaja Kesari|Dhana Yoga|Raja Yoga|Viparita Raja|Kemdrum,90.0,BUY
ASHOKAMET,2023-06-27,Leo,Sun,Virgo,Mars,Rahu,2032-04-27,Dhana Yoga|Raja Yoga|Kemdrum|Neecha Bhanga,33.0,HOLD
ASHOKLEY,1995-05-25,Cancer,Moon,Pisces,Venus,Saturn,2030-10-20,,10.0,CAUTION
ASIANENE,2021-12-09,Capricorn,Saturn,Capricorn,Rahu,Rahu,2043-06-27,Dhana Yoga|Raja Yoga|Raja Yoga|Raja Yoga|Raja Yoga,100.0,BUY
ASIANHOTNR,2010-04-07,Taurus,Venus,Capricorn,Mars,Saturn,2030-12-03,Raja Yoga|Neecha Bhanga,21.0,HOLD
ASIANPAINT,1995-05-31,Cancer,Moon,Gemini,Jupiter,Moon,2030-04-20,,22.0,HOLD
ASIANTILES,2007-08-23,Virgo,Mercury,Sagittarius,Venus,Jupiter,2034-06-13,Raja Yoga|Viparita Raja,60.0,BUY
ASKAUTOLTD,2023-11-15,Sagittarius,Jupiter,Scorpio,Mercury,Ketu,2036-02-25,Neecha Bhanga|Neecha Bhanga,-19.0,EXIT
