symbol,news_count_7d,sentiment_7d,bullish_count,bearish_count,top_theme,latest_headline,latest_date,sentiment_label,as_of_date
TATASWY,1,-1.0,0,1,"INDUSTRY_CONTRACTIVITY,CAPITAL_MARKETS",Tata Steel pushes UK profitability target to FY29,2026-07-02,BEARISH,2026-07-03
TATATECH,1,1.0,1,0,"CAPEX_CYCLE,DIGITAL_INDIA,GLOBAL_ENGAGEMENT",Tata Technologies shares jump 9% after expanding strategic partnership with Tenneco,2026-07-02,BULLISH,2026-07-03
TCS,3,1.0,3,0,DIGITAL_INDIA,"Nifty IT jumps almost 5%; Infosys, TCS shares surge up to 6%. Should you buy IT stocks at this juncture?",2026-07-02,BULLISH,2026-07-03
TITAN,1,0.0,0,0,"QUALITY_GROWTH,CAPEX_CYCLE,PREMIUMISATION",Govt eases Quality Control Order rules: Which industry segments are likely to get relief?,2026-06-26,NEUTRAL,2026-07-03
TVSMOTOR,1,0.0,0,0,,"TVS's  ₹2,000-crore Norton gamble is set for the market test",2026-07-02,NEUTRAL,2026-07-03
VEDL,3,1.0,3,0,"CAPEX_CYCLE,INDIA_PLUS_ONE","Regulatory cloud lifts, Vedanta readies Bokaro capacity doubling",2026-07-02,BULLISH,2026-07-03
VOLTAS,1,1.0,1,0,"CAPEX_CYCLE,AGRITECH,GREEN_ENERGY",Room AC firms set to have a moment in the sun?,2026-07-02,BULLISH,2026-07-03
WHIRLPOOLINDIA,1,0.0,0,0,"QUALITY_GROWTH,CAPEX_CYCLE,PREMIUMISATION",Govt eases Quality Control Order rules: Which industry segments are likely to get relief?,2026-06-26,NEUTRAL,2026-07-03
WIPRO,1,0.0,0,0,"AI_ENABLERS,CAPITAL_MARKET",Wipro share price climbs 1% following a 17% drop in ADRs overnight amid growing AI concerns. Do you own?,2026-07-02,NEUTRAL,2026-07-03
WTL,1,-1.0,0,1,"DIGITAL_INDIA,FINANCIALISATION",Can WeWork India's managed-office bet pay off?,2026-07-02,BEARISH,2026-07-03
ZENTECH,1,1.0,1,0,DIGITAL_INDIA,"Top Gainers &amp; Losers on 2 July: Zensar Tech, TCS, Coforge, Apollo Tyres, Bharat Forge, Anant Raj among top gainers",2026-07-02,BULLISH,2026-07-03
